Product_ID,Product_Name,Category,Supplier,Store_ID,Inventory_Level,Units_Sold,Unit_Price,Purchase_Cost,Discount,Temperature,Holiday,Promotion,Lead_Time,Shelf_Life,Reorder_Level,Season,Demand,Stock_Status
1,Product_001,Meat,Supplier_6,5,272,16,40.98,25.39,5,28.3,0,1,1,47,78,Winter,24,Overstock
2,Product_002,Snacks,Supplier_2,6,564,93,21.87,13.4,15,34.5,0,1,8,99,98,Rainy,97,Overstock
3,Product_003,Frozen,Supplier_9,3,531,24,39.38,22.75,5,27.3,0,1,9,360,110,Rainy,29,Overstock
4,Product_004,Meat,Supplier_15,2,294,15,30.07,25.85,0,27,0,1,1,131,74,Rainy,25,Overstock
5,Product_005,Meat,Supplier_8,10,481,74,33.28,18.71,5,18.3,1,1,1,123,122,Spring,76,Overstock
6,Product_006,Vegetables,Supplier_2,7,488,77,49.25,34.26,25,16,0,1,9,14,60,Summer,72,Overstock
7,Product_007,Household,Supplier_2,8,278,42,34.04,27.38,25,34,1,1,5,364,118,Winter,49,Normal
8,Product_008,Frozen,Supplier_3,4,224,78,31.36,19.52,5,16.2,0,0,3,196,126,Rainy,76,Normal
9,Product_009,Fruits,Supplier_7,2,335,82,43.52,32.48,10,39,1,0,9,111,106,Spring,77,Overstock
10,Product_010,Frozen,Supplier_9,7,113,30,16.88,11.93,20,29.7,0,0,1,85,89,Spring,34,Normal
11,Product_011,Vegetables,Supplier_9,9,153,11,36.75,24.48,15,33.1,0,1,8,208,107,Winter,7,Normal
12,Product_012,Fruits,Supplier_8,5,222,90,47.56,41.16,10,38.5,1,1,10,257,79,Rainy,98,Normal
13,Product_013,Grains,Supplier_12,6,370,14,4.02,3.09,5,30.1,1,1,6,300,89,Spring,12,Overstock
14,Product_014,Grains,Supplier_7,9,486,44,37.69,21.12,20,39.1,0,0,2,214,72,Winter,44,Overstock
15,Product_015,Bakery,Supplier_7,9,482,27,26.04,18.91,5,38.8,1,1,5,191,49,Rainy,33,Overstock
16,Product_016,Grains,Supplier_8,3,152,63,13.6,7.72,20,28.1,1,0,6,105,120,Winter,67,Normal
17,Product_017,Vegetables,Supplier_14,5,455,36,7.79,5.92,15,27.9,1,1,10,29,68,Rainy,41,Overstock
18,Product_018,Beverages,Supplier_10,2,45,10,19.68,16.51,5,35.9,0,0,10,79,71,Rainy,18,Low Stock
19,Product_019,Bakery,Supplier_2,10,507,53,22.31,16.63,0,37.5,0,0,8,272,101,Spring,56,Overstock
20,Product_020,Dairy,Supplier_3,7,513,9,21.19,17.48,0,22.5,1,1,7,341,132,Summer,16,Overstock
21,Product_021,Bakery,Supplier_7,7,215,58,13.02,8.53,10,34.7,1,1,8,130,61,Summer,56,Overstock
22,Product_022,Beverages,Supplier_3,7,169,66,13.86,10.43,5,21.7,1,1,3,308,73,Summer,71,Normal
23,Product_023,Bakery,Supplier_9,3,442,44,27.87,22.43,10,17.5,1,1,5,205,138,Rainy,49,Overstock
24,Product_024,Household,Supplier_10,1,568,22,4.11,3.52,20,17.6,0,1,1,109,92,Summer,32,Overstock
25,Product_025,Vegetables,Supplier_5,5,241,9,40.81,32.36,0,18.6,0,1,10,184,42,Winter,19,Overstock
26,Product_026,Vegetables,Supplier_12,1,224,46,12.63,6.96,25,33.9,1,1,3,207,63,Winter,52,Overstock
27,Product_027,Fruits,Supplier_2,1,205,43,1.77,1.02,10,32.3,0,0,5,329,126,Rainy,47,Normal
28,Product_028,Meat,Supplier_8,2,122,4,21.44,15.06,25,21.8,1,1,4,126,48,Rainy,8,Normal
29,Product_029,Snacks,Supplier_6,4,138,27,10.04,6.35,25,18.1,1,0,8,276,134,Winter,39,Normal
30,Product_030,Household,Supplier_8,1,482,37,42.49,32.98,10,32.9,1,1,8,328,125,Rainy,32,Overstock
31,Product_031,Vegetables,Supplier_2,4,121,64,34.64,22.39,20,24.8,1,1,4,302,63,Summer,67,Normal
32,Product_032,Dairy,Supplier_15,2,277,97,35.7,31.91,10,25.5,1,0,1,329,53,Summer,92,Overstock
33,Product_033,Household,Supplier_5,10,357,62,6.81,4.86,25,33.5,0,1,5,87,55,Spring,69,Overstock
34,Product_034,Vegetables,Supplier_13,1,274,45,46.66,37.13,0,26.6,0,0,6,64,85,Rainy,46,Overstock
35,Product_035,Fruits,Supplier_14,4,574,84,12.73,8.02,0,28.2,1,1,7,90,89,Rainy,84,Overstock
36,Product_036,Frozen,Supplier_15,2,585,44,49.79,30.32,0,28.4,0,0,6,329,78,Rainy,43,Overstock
37,Product_037,Household,Supplier_15,6,249,44,22.7,13.75,0,31.3,1,1,9,152,97,Spring,41,Normal
38,Product_038,Vegetables,Supplier_8,4,419,89,27.17,21.26,0,21.8,0,1,8,77,49,Summer,91,Overstock
39,Product_039,Fruits,Supplier_2,8,485,17,33.01,21.31,25,20.2,1,1,4,129,44,Winter,22,Overstock
40,Product_040,Fruits,Supplier_12,2,69,75,47.67,40.32,10,18.9,1,1,10,112,41,Summer,80,Normal
41,Product_041,Meat,Supplier_9,4,49,3,18.55,14.36,20,37.6,0,1,10,95,75,Winter,9,Low Stock
42,Product_042,Household,Supplier_11,9,497,29,49.84,40.97,5,38.4,1,0,3,333,132,Winter,39,Overstock
43,Product_043,Frozen,Supplier_1,7,403,22,10.3,6.28,15,18.9,0,1,1,301,145,Winter,22,Normal
44,Product_044,Household,Supplier_11,10,462,69,21.07,16.87,10,38.8,0,0,8,98,84,Spring,77,Overstock
45,Product_045,Grains,Supplier_1,6,97,72,40.37,27.28,25,33,1,1,3,134,141,Spring,69,Low Stock
46,Product_046,Snacks,Supplier_10,1,166,73,44.51,39.48,0,38.9,1,1,10,21,72,Spring,75,Normal
47,Product_047,Household,Supplier_13,2,166,74,25.06,15.99,25,39.2,0,0,9,291,130,Rainy,85,Normal
48,Product_048,Snacks,Supplier_2,6,302,70,47.2,40.81,15,33.9,1,0,1,143,54,Summer,78,Overstock
49,Product_049,Grains,Supplier_7,5,331,77,29.61,20.86,20,29,0,0,6,341,46,Rainy,86,Overstock
50,Product_050,Grains,Supplier_8,4,285,68,13.55,9.82,20,33,0,1,3,345,48,Spring,74,Overstock
51,Product_051,Snacks,Supplier_2,8,43,12,6.29,4.79,25,16.6,1,1,10,43,121,Summer,8,Low Stock
52,Product_052,Frozen,Supplier_6,2,324,67,34.03,19.71,0,39.4,1,1,8,197,125,Spring,76,Normal
53,Product_053,Vegetables,Supplier_5,7,269,29,8.1,4.68,25,20.3,0,0,6,225,127,Winter,30,Normal
54,Product_054,Meat,Supplier_10,9,180,94,20.78,14.98,15,17.2,1,0,10,10,144,Rainy,95,Normal
55,Product_055,Fruits,Supplier_2,2,586,59,27.73,23.06,0,17.8,1,0,7,146,135,Rainy,60,Overstock
56,Product_056,Fruits,Supplier_9,8,405,9,49.15,38.05,15,23,0,1,4,300,102,Spring,11,Overstock
57,Product_057,Snacks,Supplier_6,8,47,45,19.75,16.22,10,15.4,0,1,4,232,47,Spring,43,Normal
58,Product_058,Snacks,Supplier_9,10,396,39,39.97,32.45,10,34.7,1,0,9,235,138,Rainy,51,Normal
59,Product_059,Snacks,Supplier_10,3,116,9,27.47,20.56,10,32.7,0,1,1,267,99,Rainy,21,Normal
60,Product_060,Meat,Supplier_13,3,36,93,40.28,27.02,0,36.3,0,0,8,267,74,Rainy,96,Low Stock
61,Product_061,Dairy,Supplier_4,1,168,39,38.22,25.87,20,28.1,1,0,4,225,125,Rainy,50,Normal
62,Product_062,Frozen,Supplier_1,1,182,53,21.82,16.86,15,29.5,0,0,8,3,41,Rainy,60,Overstock
63,Product_063,Meat,Supplier_6,2,275,84,10.83,8.82,15,39,1,1,1,136,53,Spring,87,Overstock
64,Product_064,Frozen,Supplier_14,3,360,34,39.64,23.83,15,38.8,1,1,6,243,58,Rainy,44,Overstock
65,Product_065,Snacks,Supplier_6,10,155,9,19.66,11.13,5,25.6,1,1,10,341,139,Winter,21,Normal
66,Product_066,Beverages,Supplier_12,3,387,96,9.26,5.12,5,26.4,1,0,3,234,44,Spring,102,Overstock
67,Product_067,Meat,Supplier_1,5,222,22,31.78,23.15,15,33.8,0,1,7,212,66,Summer,18,Overstock
68,Product_068,Bakery,Supplier_2,2,71,69,41.79,23.99,5,17.8,1,1,8,106,114,Rainy,72,Low Stock
69,Product_069,Vegetables,Supplier_5,7,148,88,47.01,40.02,15,15.5,1,0,9,135,62,Winter,89,Normal
70,Product_070,Frozen,Supplier_7,7,289,56,39.25,28.25,10,29.1,1,1,4,223,80,Winter,59,Overstock
71,Product_071,Frozen,Supplier_13,6,510,56,3.5,2.17,0,15.9,1,1,6,220,137,Rainy,62,Overstock
72,Product_072,Frozen,Supplier_1,10,125,53,47.77,36.71,15,25,0,0,3,135,94,Winter,48,Normal
73,Product_073,Beverages,Supplier_13,10,573,35,12.12,8.14,15,20.8,1,1,9,315,94,Winter,40,Overstock
74,Product_074,Bakery,Supplier_8,8,332,78,39.01,25.23,5,32.7,1,0,8,112,87,Spring,80,Overstock
75,Product_075,Meat,Supplier_9,4,271,8,30.08,21.68,0,35.4,0,0,9,225,126,Winter,16,Normal
76,Product_076,Snacks,Supplier_15,3,330,99,34.25,22.52,25,19.9,0,0,2,342,104,Spring,95,Overstock
77,Product_077,Meat,Supplier_15,10,166,85,25.17,21.99,10,21.9,0,0,7,282,66,Winter,97,Normal
78,Product_078,Bakery,Supplier_1,9,141,11,1.12,0.65,10,20.4,1,0,1,340,77,Spring,7,Normal
79,Product_079,Vegetables,Supplier_11,5,62,16,31.13,18.25,0,15.9,1,0,5,128,98,Summer,12,Low Stock
80,Product_080,Snacks,Supplier_14,10,310,58,40.03,29.71,20,17.5,0,1,9,330,124,Winter,53,Normal
81,Product_081,Dairy,Supplier_12,6,566,33,27.48,21.75,10,29.6,0,0,4,251,104,Summer,40,Overstock
82,Product_082,Meat,Supplier_6,5,592,94,2.35,1.38,0,33,0,0,8,47,143,Rainy,106,Overstock
83,Product_083,Bakery,Supplier_14,2,487,79,21.85,19.03,5,15.5,0,0,9,333,43,Rainy,74,Overstock
84,Product_084,Frozen,Supplier_12,7,48,28,6.05,5.35,5,34.6,1,1,8,299,143,Summer,28,Low Stock
85,Product_085,Meat,Supplier_12,7,51,53,47.09,30.44,10,34.8,0,1,3,259,69,Rainy,48,Low Stock
86,Product_086,Meat,Supplier_8,4,118,15,13.1,8.39,25,36.1,1,0,8,77,73,Winter,11,Normal
87,Product_087,Snacks,Supplier_5,5,550,61,15.57,13.17,25,18.4,1,1,10,125,150,Winter,58,Overstock
88,Product_088,Beverages,Supplier_10,10,118,44,1.48,0.94,5,39.5,1,0,5,138,140,Summer,49,Low Stock
89,Product_089,Household,Supplier_11,1,486,24,8.65,5.71,10,23.4,0,1,4,122,84,Winter,25,Overstock
90,Product_090,Dairy,Supplier_13,7,410,2,40.15,28.09,15,15.6,1,1,8,69,125,Winter,1,Overstock
91,Product_091,Snacks,Supplier_10,6,435,3,35.73,24.03,15,22.6,0,1,8,351,112,Spring,9,Overstock
92,Product_092,Snacks,Supplier_7,5,502,75,26.22,17.42,10,38.8,0,0,7,246,137,Summer,81,Overstock
93,Product_093,Meat,Supplier_5,3,195,7,37.41,32.66,25,39,0,0,10,288,105,Spring,8,Normal
94,Product_094,Grains,Supplier_7,1,167,57,30.72,19.89,10,22.4,1,1,5,287,120,Rainy,55,Normal
95,Product_095,Grains,Supplier_3,7,586,4,25.19,17.13,0,34.5,0,0,3,47,64,Spring,1,Overstock
96,Product_096,Meat,Supplier_5,10,124,55,12.93,8.32,10,16,0,0,6,172,70,Spring,51,Normal
97,Product_097,Meat,Supplier_12,6,249,86,45.63,25.75,15,33,1,1,3,274,45,Rainy,90,Overstock
98,Product_098,Beverages,Supplier_9,7,353,46,29.42,23.99,0,30.6,1,1,4,41,134,Spring,43,Normal
99,Product_099,Meat,Supplier_9,1,365,56,4.12,2.67,10,15.3,0,1,6,263,148,Summer,55,Normal
100,Product_100,Vegetables,Supplier_6,5,423,14,25.74,18.6,25,33.5,1,0,10,363,62,Rainy,20,Overstock
101,Product_101,Vegetables,Supplier_13,3,96,9,37.88,29.69,10,38.8,1,0,8,165,94,Rainy,13,Normal
102,Product_102,Dairy,Supplier_8,3,477,55,48.47,27.55,15,33.8,1,1,2,297,113,Summer,63,Overstock
103,Product_103,Grains,Supplier_12,4,32,9,40.83,28.37,15,39.8,0,0,10,116,94,Rainy,4,Low Stock
104,Product_104,Bakery,Supplier_15,3,323,84,48.34,41.67,10,38.2,0,1,3,76,135,Rainy,89,Normal
105,Product_105,Meat,Supplier_9,1,385,88,13.07,9.58,20,30.6,0,0,6,120,110,Summer,88,Overstock
106,Product_106,Dairy,Supplier_6,2,352,20,27.16,23.16,5,32.7,0,0,10,212,51,Summer,29,Overstock
107,Product_107,Meat,Supplier_5,3,352,86,44.48,32.25,5,22.2,0,1,5,268,53,Spring,89,Overstock
108,Product_108,Beverages,Supplier_15,8,528,40,49.43,38.71,0,39.7,1,1,2,95,131,Summer,38,Overstock
109,Product_109,Frozen,Supplier_5,9,283,56,15.95,13.58,20,20.8,1,1,7,118,128,Spring,61,Normal
110,Product_110,Bakery,Supplier_10,6,189,53,34.71,21.64,0,16.8,1,0,3,199,136,Rainy,61,Normal
111,Product_111,Household,Supplier_10,3,442,1,1.48,0.87,15,33.4,1,0,10,192,65,Winter,1,Overstock
112,Product_112,Fruits,Supplier_5,4,368,99,45.54,37.2,20,28.1,1,1,8,196,134,Rainy,109,Normal
113,Product_113,Vegetables,Supplier_15,10,598,13,1.88,1.33,15,16.5,1,1,7,228,51,Spring,13,Overstock
114,Product_114,Household,Supplier_2,6,164,46,29.24,18.28,0,37.9,1,1,3,90,48,Rainy,41,Overstock
115,Product_115,Grains,Supplier_6,6,474,61,17.1,15.1,15,28.2,1,1,7,75,43,Summer,71,Overstock
116,Product_116,Snacks,Supplier_9,1,404,27,41.45,28.65,0,28.1,0,0,7,288,97,Summer,25,Overstock
117,Product_117,Household,Supplier_10,9,112,66,23.34,14.91,25,38,1,0,6,81,56,Rainy,63,Normal
118,Product_118,Household,Supplier_11,5,76,70,6.81,3.82,25,19.8,0,1,8,121,63,Summer,73,Normal
119,Product_119,Bakery,Supplier_15,9,273,82,11.04,8.62,25,37.4,1,0,7,292,103,Winter,84,Normal
120,Product_120,Frozen,Supplier_4,10,456,89,33.46,25.74,15,39,1,1,2,176,146,Winter,91,Overstock
121,Product_121,Frozen,Supplier_2,10,417,93,15.69,10.2,5,39.1,0,0,5,65,74,Summer,101,Overstock
122,Product_122,Beverages,Supplier_12,2,320,23,10.44,9.11,10,37.5,0,0,2,85,122,Summer,21,Normal
123,Product_123,Frozen,Supplier_13,2,464,72,37.21,22.39,25,33.5,1,0,8,266,47,Spring,70,Overstock
124,Product_124,Household,Supplier_13,9,570,34,25.95,21.91,15,38.6,0,1,6,173,106,Winter,38,Overstock
125,Product_125,Bakery,Supplier_3,3,58,68,20.62,15.74,0,35.6,0,0,1,167,98,Winter,73,Low Stock
126,Product_126,Bakery,Supplier_13,6,331,52,44.27,25.2,20,30.2,0,1,4,84,93,Spring,53,Overstock
127,Product_127,Household,Supplier_11,8,384,75,16.45,10.63,5,25.9,1,0,5,135,62,Winter,81,Overstock
128,Product_128,Beverages,Supplier_1,2,600,56,25.98,14.65,25,28.8,1,1,6,167,49,Rainy,67,Overstock
129,Product_129,Meat,Supplier_2,9,550,67,46.88,39.42,15,33,0,1,10,74,86,Winter,72,Overstock
130,Product_130,Grains,Supplier_4,1,419,99,19.74,13.5,0,31.5,1,1,9,152,139,Spring,104,Overstock
131,Product_131,Fruits,Supplier_10,10,312,89,8.5,5.24,0,26.9,0,1,10,252,109,Winter,85,Normal
132,Product_132,Bakery,Supplier_15,3,53,28,43.85,26.75,25,33.2,0,0,9,64,50,Summer,25,Normal
133,Product_133,Beverages,Supplier_1,8,106,87,47.69,28.62,5,37.1,1,1,5,93,138,Rainy,84,Low Stock
134,Product_134,Frozen,Supplier_15,6,148,12,25.29,22.21,5,33.1,0,0,9,294,96,Spring,9,Normal
135,Product_135,Dairy,Supplier_11,7,469,67,49.86,33.27,25,17.3,0,0,10,298,111,Spring,69,Overstock
136,Product_136,Grains,Supplier_12,2,546,50,9.11,5.9,10,28.1,1,0,4,178,54,Summer,55,Overstock
137,Product_137,Vegetables,Supplier_8,6,213,47,23.71,16.16,20,21.3,0,1,10,248,49,Rainy,56,Overstock
138,Product_138,Snacks,Supplier_13,10,128,64,18.07,14.62,20,20.9,0,0,3,62,81,Winter,75,Normal
139,Product_139,Frozen,Supplier_15,4,200,89,36.14,26.92,5,37.4,1,0,9,259,121,Spring,99,Normal
140,Product_140,Fruits,Supplier_8,4,317,39,31.24,20.2,20,27.9,0,1,7,71,63,Spring,41,Overstock
141,Product_141,Beverages,Supplier_15,6,37,48,32.68,28.29,20,29.3,0,0,6,266,81,Spring,58,Low Stock
142,Product_142,Meat,Supplier_8,8,73,72,23.94,21.18,20,38,0,0,7,16,114,Rainy,71,Low Stock
143,Product_143,Snacks,Supplier_12,3,595,91,8.63,6.26,5,36.3,1,1,2,96,138,Spring,87,Overstock
